index,Company,Country,Parsed_Company,Location,Company_Category,long,lat,lat_long
5696,Labormontage Schuster GmbH,DE,labormontage schuster,,co,,,
5697,FSM Stamping GmbH (Hennigsdorf),DE,fsm stamping,hennigsdorf,co,13.2057511,52.6375777,52.6 13.2
5698,Meleghy & Cie. Automotive GmbH (Recklinghausen),DE,meleghy cie automotive,recklinghausen,co,7.1978546,51.6143815,51.6 7.2
