company,Company,Country,city,Parsed_Company,Location,Company_Category,long,lat,lat_long
https://data.coypu.org/company/gleif/549300CNMLOIH6VMIM75,"QUEENS GATE APARTMENTS URBAN RENEWAL, LLC",US,Colts Neck,queens gate apartments urban renewal,colts neck,co,-74.1723652,40.2876108,40.3 -74.2
https://data.coypu.org/company/gleif/549300J2SYLVFA04P104,"Mountain Pacific Future World Funds, LLC - Emerging Markets Equity Fund",US,WILMINGTON,mountain pacific future world funds   emerging markets equity fund,wilmington,co,-75.546589,39.7459468,39.7 -75.5
https://data.coypu.org/company/gleif/549300MUQLWFMHX3F859,"VZW LA ACQUISITION GROUP, LLC",US,WILMINGTON,vzw la acquisition group,wilmington,co,-75.546589,39.7459468,39.7 -75.5
