index,location,address,lat,long
1315,"shenzhen","深圳市, 广东省, 中国",22.5445741,114.0545429
1316,"dongguan","东莞市, 广东省, 中国",23.0205969,113.7457788
1319,"zhongshan","钟山县, 贺州市, 广西壮族自治区, 中国",24.5290384,111.2975324
