index_scm,Company,Country,Parsed_Company,Location,Company_Category,long,lat,lat_long,company,Company,Country,city,Parsed_Company,Location,Company_Category,long,lat,lat_long

25085,Keats Manufacturing Co (Wheeling),US,keats manufacturing,wheeling,co,-87.9310944,42.138889,42.1 -87.9,https://data.coypu.org/company/gleif/5493005L95IYI4F8QJ20,Keats Manufacturing Co.,US,Wheeling,keats manufacturing,wheeling,co,-87.9310944,42.138889,42.1 -87.9

25042,"Showa Denko America, Inc. (New York)",US,showa denko america,new york,co,-74.0060152,40.7127281,40.7 -74.0,https://data.coypu.org/company/gleif/5493002WCEBKMB9MDK29,"Showa Denko America, Inc.",US,New York,showa denko america,new york,co,-74.0060152,40.7127281,40.7 -74.0

24990,CROWN HOLDINGS (Yardley),US,crown holdings,yardley,,-74.8459972,40.245664,40.2 -74.8,https://data.coypu.org/company/gleif/NYLWZIOY8PUNIT4JOE22,"CROWN HOLDINGS, INC.",US,YARDLEY,crown holdings,yardley,co,-74.8459972,40.245664,40.2 -74.8
