index_scm,Company,Country,Parsed_Company,Location,Company_Category,long,lat,lat_long,company,Company,Country,city,Parsed_Company,Location,Company_Category,long,lat,lat_long

2196,"Yantai Yinuo Electronic Materials Co., Ltd.",CN,yantai yinuo electronic materials,,co,,,,https://data.coypu.org/company/gleif/836800QVANXQZADGD112,烟台一诺电子材料有限公司,CN,烟台市,yantai yinuo electronic materials, city of yantai,,121.4425255,37.461928,37.5 121.4

4219,"Huawei Technologies Co., Ltd",CN,huawei technologies,,co,,,,https://data.coypu.org/company/gleif/300300G4NLFHF8PDPY52,华为技术有限公司,CN,深圳市,huawei technologies, shenzhen,,114.0545429,22.5445741,22.5 114.1

3524,"Hunan Quanxiang Ceramics Corp.,Ltd.",CN,hunan quanxiang ceramics,,co,,,,https://data.coypu.org/company/gleif/655600CY8DAFH8VXJ291,湖南泉湘陶瓷有限公司,CN,株洲市,hunan quanxiang ceramics, zhuzhou city,,113.1283685,27.830618,27.8 113.1
