company,Company,Country,city,Parsed_Company,Parsed_City,Company_Category,long,lat
https://data.coypu.org/company/gleif/391200TWIAUG86Y3FU62,Thorsten Janning GmbH,DE,Köln,thorsten janning,koeln,co,6.959974,50.938361
https://data.coypu.org/company/gleif/391200AIYVO5Y4RWQL46,"""Die Insel"" am Maschsee GmbH & Co. KG",DE,Hannover,die insel am maschsee,hannover,co,9.7385532,52.3744779
https://data.coypu.org/company/gleif/875500NYIMLKT8NHCL11,Timothy-Pascal Konrad,DE,Oberboihingen,timothy pascal konrad,oberboihingen,,9.3668947,48.6475985
